Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
30,2312030,6,CC,9,AB,10,AA,10,AA,9,AB,7,BC,5,CD,9,AB,10,AA,226,8.07,8.02,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
31,2312031,5,CD,8,BB,10,AA,7,BC,9,AB,7,BC,6,CC,8,BB,9,AB,208,7.43,7.47,-
32,2312032,6,CC,7,BC,10,AA,9,AB,8,BB,7,BC,4,DD,6,CC,8,BB,193,6.89,7.56,-
33,2312033,8,BB,9,AB,9,AB,9,AB,8,BB,8,BB,7,BC,8,BB,9,AB,231,8.25,8.45,-
34,2312034,8,BB,8,BB,10,AA,8,BB,8,BB,6,CC,6,CC,6,CC,9,AB,206,7.36,7.05,-
35,2312035,7,BC,9,AB,10,AA,8,BB,6,CC,8,BB,5,CD,8,BB,10,AA,217,7.75,7.76,-
36,2312036,5,CD,7,BC,9,AB,7,BC,9,AB,6,CC,4,DD,7,BC,8,BB,184,6.57,6.89,-
37,2312037,9,AB,10,AA,10,AA,10,AA,9,AB,8,BB,5,CD,10,AA,10,AA,247,8.82,8.82,-
38,2312038,6,CC,10,AA,10,AA,9,AB,9,AB,8,BB,10,AA,9,AB,8,BB,247,8.82,8.22,-
39,2312039,5,CD,7,BC,9,AB,8,BB,9,AB,8,BB,6,CC,10,AA,9,AB,217,7.75,7.38,-
40,2312040,5,CD,6,CC,9,AB,8,BB,9,AB,6,CC,4,DD,7,BC,7,BC,181,6.46,7.16,-
41,2312041,5,CD,9,AB,10,AA,8,BB,9,AB,7,BC,7,BC,10,AA,9,AB,227,8.11,7.42,-
42,2312042,5,CD,7,BC,9,AB,7,BC,9,AB,8,BB,6,CC,9,AB,8,BB,208,7.43,6.8,-
43,2312043,8,BB,8,BB,10,AA,8,BB,9,AB,8,BB,5,CD,8,BB,9,AB,220,7.86,7.64,-
